station_name	wmo_reg	sub_reg	river	station	country	lat	long	area
2854200	2	2542	KRISHNA	DEOSUGUR	IN	16.38542	77.34792	-999
2854300	2	2542	KRISHNA	VIJAYAWADA	IN	16.52	80.62	251355
2854400	2	2542	TUNGABHADRA RIVER	BAWAPURAM	IN	15.88542	77.96458	67180
2854450	2	2542	HAGARI RIVER	RAMAPURAM	IN	15.63	76.97	23500
2854500	2	2543	PENNER RIVER	NELLORE	IN	14.45	79.98	53290
2854700	2	2541	CAUVERY RIVER	KRISHNARAJASAGAR	IN	12.42	76.58	10600
2854750	2	2540	PONNAIYAR RIVER	TIRUKOILUR ANICUT	IN	11.98	79.27	12888
2854800	2	2540	CAUVERY RIVER	GRAND ANICUT	IN	10.83	78.83	74004
2854900	2	2540	VAIGAI RIVER	PERANAI	IN	10.1	77.8	2253
2854980	2	2540	TAMBRAPARNI RIVER	SRI VAIKUNTAM	IN	8.63	77.93	4505
2855800	2	2551	MAHANADI RIVER	KAIMUNDI	IN	20.41458	85.57708	132090
2856200	2	2561	GODAVARI RIVER	DHALEGAON	IN	19.2	76.37	30840
2856300	2	2561	GODAVARI RIVER	BABLI	IN	18.87	77.82	55510
2856320	2	2561	GODAVARI RIVER	BASAR	IN	18.87	77.98	86660
2856500	2	2561	GODAVARI RIVER	MANCHERIAL	IN	18.83	79.45	102900
2856530	2	2561	WARDHA RIVER	BAMNI BR.	IN	19.8	79.37	46020
2856550	2	2561	WAINGANGA RIVER	ASHTI	IN	19.68	79.78	50990
2856600	2	2561	INDRAVATI RIVER	PARTHGUDEM	IN	18.82	80.35	40000
2856800	2	2561	KOLAB RIVER	KOTTA	IN	18.78	82.52	2041
2856900	2	2561	GODAVARI RIVER	POLAVARAM	IN	16.92	81.78	299320
2875100	2	2751	SODU-SU	YENAM	KP	41.58125	128.82292	720
2876400	2	2761	CHANGJA-GANG	JONCHON	KP	40.67	126.45	2192
2876500	2	2761	YALU RIVER	KUMCHANG	KP	41.53	127.13	18245
2878100	2	2780	TAEDONG-GANG	MIRIM	KP	39.02	125.78	12175
2878200	2	2780	NAM-GANG	SAMDUNG	KP	38.98	126.18	2727
2878250	2	2780	PIRYU-GANG	SONGCHON	KP	39.27	126.22	1878
2878300	2	2780	TAEDONG-GANG	DOKCHON	KP	39.75	126.3	3300
2901100	2	2019	NYRVAKINOTVEEM	6 KM FROM THE MOUTH	RU	66.41	-179.25	207
2901190	2	2011	KUYVIVEYEM	CHUVANSKOYE	RU	65.2167	167.9833	523
2901195	2	2011	YEROPOL	CHUVANSKOYE	RU	65.2167	167.9833	8360
2901200	2	2011	ANADYR'	NOVY YEROPOL	RU	64.83	168.75	47300
2901201	2	2011	ANADYR'	SNEZHNOYE	RU	65.45	172.97	106000
2901202	2	2011	ANADYR'	3 KM UPSTREAM UTYOSIKI RIVER MOUTH	RU	65.0771	173.5979	156000
2901203	2	2011	ANADYR'	LAMUTSKOYE	RU	65.55	168.87	16400
2901204	2	2011	ANADYR'	BAZAKREPOST	RU	64.75	170.75	55100
2901205	2	2011	MAYN	VAEGI	RU	64.17	171.03	18600
2901210	2	2011	TANYURER	TANURER	RU	64.83	174.28	18300
2901300	2	2019	PENZHINA	KAMENSKOYE	RU	62.42	166.03	71600
2901500	2	2019	KHASYN	KOLYMA ROAD (79TH KM)	RU	60.089	150.842	682
2901900	2	2010	AMGUEMA	MOUTH OF SHOUMNY BROOK	RU	67.67	-178.9	26700
2901901	2	2010	AMGUEMA	U MOSTA 174 KM	RU	67.42	178.4	26400
2902500	2	2020	PLOTNIKOVA	DAL'NIY	RU	53.18429	157.62197	649
2902600	2	2021	KAMCHATKA	VERKHNE-KAMCHATSK	RU	54.43	158.31	3760
2902700	2	2020	AVACHA	ELIZOVO (YELIZOVO)	RU	53.1833	158.3833	4750
2902800	2	2021	KAMCHATKA	KLUCHI (KLYUCHI)	RU	56.3	160.85	45600
2902850	2	2021	KAMCHATKA	BOLSHIE SCHEKI	RU	56.27	161.67	51600
2903030	2	2031	TYRY	NEZHDANINSKOYE	RU	62.4938	139.0729	2090
2903035	2	2031	VOSTOCHNAYA KHANDYGA	ZAPA	RU	63.13	138.28	2510
2903040	2	2031	KHANDA	ATIRJAK	RU	61.82	136.08	7720
2903050	2	2031	VITIM	BODAIBO	RU	57.82	114.17	186000
2903051	2	2031	VITIM	UST-ZAZA	RU	53.22	111.68	14200
